id,estado_actualizados,registros_actualizados,observacion_actualizados,estado_eliminados,registros_eliminados,observacion_eliminados,fecha_ejecucion
1,OK,0,"No hay datos para procesar",OK,0,"No hay datos para procesar","2025-08-24 04:07:31"
2,OK,0,"No hay datos para procesar",OK,0,"No hay datos para procesar","2025-08-26 02:00:29"
3,OK,0,"No hay datos para procesar",OK,0,"No hay datos para procesar","2025-08-27 02:01:06"
4,OK,0,"No hay datos para procesar",OK,0,"No hay datos para procesar","2025-08-28 02:00:38"
5,OK,0,"No hay datos para procesar",OK,0,"No hay datos para procesar","2025-08-29 02:00:37"
